,Tweet ID
0,1332152665107689475
1,1332064584740392960
2,1331962915033903108
3,1331778449338462208
4,1331768724282552326
5,1331761084873789440
6,1331744978859552774
7,1331716793149304845
8,1331687232185372672
9,1331661306819174408
10,1331661304512253954
11,1331661301509222401
12,1331631229414772738
13,1331419836325515264
14,1331398445341532161
15,1331383597685755904
16,1331364473064493056
17,1331342325981741056
18,1331316908289875972
19,1331307848647761925
20,1331296970321793024
21,1331256258603732993
22,1331071296235507713
23,1331066759735091203
24,1330967606585593857
25,1330925173114073088
26,1330881290753757184
27,1330194266375720965
28,1329939582633250819
29,1329878933043515392
30,1329842428816236551
31,1329815610180710401
32,1329815608469368832
33,1329803817362198529
34,1329616705061068807
35,1329586757709414408
36,1329567883467259904
37,1329531656894484480
38,1329225376581652480
39,1329206502414958593
40,1329130715439525889
41,1328837822950752259
42,1328790008963227649
43,1328734005404061701
44,1328474177007972354
45,1328467885279375361
46,1328461593848397827
47,1328425157229113344
48,1328338891544387585
49,1328338687910928386
50,1328133691529375751
51,1328006638809329665
52,1327649998092214273
53,1327418361001676800
54,1327418359848300545
55,1327394562906542080
56,1327356814552305664
57,1326968002839908353
58,1326956772175863810
59,1326955421320450049
60,1326696150364286976
61,1326638331204038656
62,1326557341697839106
63,1326344141446373376
64,1326325015290273792
65,1326306141056364544
66,1326284750420643846
67,1326279066140467201
68,1326272198659645440
69,1326266378991542272
70,1326245116462260224
71,1326214285949865986
72,1325906004912037895
73,1325890910635384839
74,1325885871875190784
75,1325880083618426881
76,1325873288711712769
77,1325870017401905152
78,1325842292444291072
79,1325821740258365441
80,1325445063669936129
81,1325261759456874499
82,1325259242631274496
83,1325258739318927361
84,1325257984562192385
85,1325257229625421825
86,1325256474415800322
87,1325255719336243200
88,1325254964415881216
89,1325254461049073664
90,1325254209613123584
91,1325253706061926401
92,1325253454571270144
93,1325253203022241792
94,1325252951124762625
95,1325247969780621317
96,1325129452100100098
97,1325118992785223682
98,1324926298762870785
99,1324925795991609348
100,1324925040660393987
101,1324924538749026306
102,1324924285631176704
103,1324923025138049027
104,1324921258845204480
105,1324531952230289408
106,1324521884394921985
107,1324511817658441728
108,1324490426649317376
109,1324469173297303552
110,1324467777470558208
111,1324465078243151885
112,1324445128434438145
113,1324430028860493826
114,1324406121721786369
115,1324384344962592769
116,1324341948568621056
117,1324187178688196609
118,1324179628932562944
119,1324172079025934336
120,1324158992877154310
121,1324136846826364929
122,1324115456190459911
123,1324112939310264322
124,1324110423411490816
125,1324107906246086656
126,1324105390049488896
127,1324103124768882689
128,1324095643116163072
129,1324066382846320641
130,1324062214412767232
131,1324057905667149826
132,1324006410745569282
133,1323868327744253952
134,1323867320826109954
135,1323865811031785472
136,1323862422084493312
137,1323813103012818946
138,1323813088102146049
139,1323810798129610762
140,1323803877838364672
141,1323790702577373184
142,1323788300176388096
143,1323770935728607237
144,1323761880234553346
145,1323753975221522433
146,1323747783732535300
147,1323739479069392904
148,1323731677202567169
149,1323728652148891651
150,1323727125380288513
151,1323725896017203207
152,1323722695297695745
153,1323719094290452480
154,1323714564219961350
155,1323706008200376320
156,1323702988381122560
157,1323698268551942145
158,1323694683516788738
159,1323686386956791808
160,1323683519244230657
161,1323680338976010240
162,1323671782969102336
163,1323662679072862208
164,1323649133710770176
165,1323646695171870721
166,1323635543666667520
167,1323626012400377859
168,1323614656158560256
169,1323603835114328064
170,1323592258617188352
171,1323581437459734529
172,1323520285685899264
173,1323516509491138562
174,1323512734781067265
175,1323508959706292224
176,1323505184841080832
177,1323501409694830592
178,1323498138536013825
179,1323497131517378560
180,1323493860035670022
181,1323491343709036546
182,1323487568487452672
183,1323483793806790657
184,1323480103125397504
185,1323480018727612422
186,1323476965312126976
187,1323473727447654400
188,1323471210785599488
189,1323468541476163586
190,1323468473889153026
191,1323467436600025088
192,1323463661235642369
193,1323459889029619712
194,1323457369670512641
195,1323454098025320448
196,1323419193778188288
197,1323409554567094272
198,1323404521523982338
199,1323400746939883522
200,1323399824046252033
201,1323391493885718528
202,1323390735207550976
203,1323383130435260419
204,1323376838874484738
205,1323373064277680128
206,1323369292499484684
207,1323365514400464897
208,1323362494753075201
209,1323357964737089540
210,1323354189876125696
211,1323345575526297600
212,1323344123873710081
213,1323340422794645505
214,1323336825306402816
215,1323326718426320899
216,1323320216038776832
217,1323317447823273985
218,1323306919461756930
219,1323299670580449281
220,1323297566726017024
221,1323291275613757442
222,1323287121814192133
223,1323285487059042309
224,1323281209267527680
225,1323273910981451778
226,1323267619416399872
227,1323262197573836805
228,1323256294925455360
229,1323252268481695744
230,1323244215187447814
231,1323238930339287045
232,1323233897694470144
233,1323228219127046144
234,1323136505435561985
235,1323128955642253312
236,1323122502751653888
237,1323117631033933825
238,1323112598938767361
239,1323105048075792385
240,1323098757173448704
241,1323096239970373638
242,1323087935411924993
243,1323082401774329856
244,1323077868990193672
245,1323073590749614080
246,1323069815880327173
247,1323062266200264705
248,1323057366510817284
249,1323052200814366720
250,1323048424929898501
251,1323043942062006273
252,1323043391840481280
253,1323030495630798848
254,1323023259512659968
255,1323018225895047179
256,1323013947973197824
257,1323009391516405760
258,1323002402534928384
259,1322989285377667073
260,1322981735739645953
261,1322976702419636225
262,1322971669355483139
263,1322967642777550858
264,1322963112857800705
265,1322959086544211973
266,1322952795033538560
267,1322949020164202497
268,1322943986995179522
269,1322937695606362118
270,1322932159447924737
271,1322927509260902401
272,1322922596195684353
273,1322920732381356032
274,1322918821242556425
275,1322914542892929024
276,1322907244871102464
277,1322901204943491073
278,1322896675040456704
279,1322892363350577154
280,1322886357535150081
281,1322881072363917312
282,1322876039144636417
283,1322871257902145536
284,1322865972819251200
285,1322757759591436288
286,1322751468827541510
287,1322746435071139840
288,1322740143741005825
289,1322735117387943939
290,1322730450293587968
291,1322725547504328704
292,1322721017811345410
293,1322714977715785729
294,1322709944509124613
295,1322705178622070784
296,1322699878196301832
297,1322695600106659840
298,1322692328591552512
299,1322688553650827264
300,1322685282165026817
301,1322684683524755457
302,1322679745662881798
303,1322678924485296129
304,1322646873081966593
305,1322640738648313856
306,1322639650029293569
307,1322631427297476608
308,1322623616568168448
309,1322620606098137088
310,1322613559491284994
311,1322613077997740032
312,1322598107809394689
313,1322588817795260418
314,1322585061452034048
315,1322569017412997122
316,1322561466357211136
317,1322551400191135744
